Gene	count_concord	unique_hg38	unique_hg19
ADH1C	67	0	0
ADH4	22	0	0
ADH5	49	0	0
ADH6	18	0	0
ADH7	52	0	0
ADHFE1	86	0	0
ADI1	72	0	0
ADIG	29	0	0
ADIPOQ	20	0	0
ADIPOQ-AS1	8	0	0
ADIPOR1	30	0	0
ADIPOR2	36	0	0
ADIRF	15	0	0
ADK	51	0	0
ADM	18	0	0
ADM2	20	0	0
ADM5	15	0	0
ADNP	39	0	0
ADNP-AS1	7	0	0
ADNP2	57	0	0
ADO	64	0	0
ADORA1	28	0	0
ADORA2A	19	0	0
ADORA2A-AS1	3	0	0
ADORA2B	21	0	0
ADORA3	24	0	0
ADPGK	36	0	0
ADPGK-AS1	5	0	0
ADPRH	31	0	0
ADPRHL1	68	0	0
ADPRM	25	0	0
ADRA1A	36	0	0
ADRA1B	24	0	0
ADRA1D	35	0	0
ADRA2A	51	0	0
ADRA2B	22	2	2
ADRA2C	25	0	0
ADRB1	51	0	0
ADRB2	37	0	0
ADRB3	38	0	0
ADRM1	99	0	0
ADSL	70	0	0
ADTRP	51	0	0
AEBP1	129	0	0
AEBP2	51	0	0
AEN	40	0	0
AFAP1	147	0	0
AFAP1-AS1	36	0	0
AFAP1L1	136	0	0
AFAP1L2	141	0	0
AFDN	216	0	0
AFF1	186	0	0
AFF3	137	0	0
AFF4	88	0	0
AFG1L	63	0	0
AFG3L2	87	0	0
AFM	91	0	0
AFMID	87	0	0
AFP	76	0	0
AFTPH	62	0	0
AGA	58	0	0
AGAP1	244	0	0
AGAP11	57	0	0
AGAP12P	13	14	1
AGAP2	99	0	0
AGAP2-AS1	16	0	0
AGAP3	126	0	0
AGAP4	6	45	0
AGAP5	28	4	1
AGAP6	42	1	3
AGAP7P	42	9	5
AGAP9	3	10	12
AGBL1	193	0	0
AGBL2	61	0	0
AGBL3	68	0	0
AGBL4	101	0	0
AGBL5	113	0	0
AGER	54	0	0
AGFG1	63	0	0
AGFG2	76	0	0
AGGF1	100	0	0
AGK	70	0	0
AGL	164	0	0
AGMAT	49	0	0
AGMO	129	0	0
AGO1	78	0	0
AGO2	149	0	0
AGO3	72	0	0
AGO4	82	0	0
AGPAT1	15	0	0
AGPAT2	73	0	0
AGPAT3	56	0	0
AGPAT4	66	0	0
AGPAT5	87	0	0
AGPS	96	0	0
AGR2	42	0	0
AGR3	39	0	0
AGRN	412	0	1
AGRP	20	0	0
AGT	61	0	0
AGTPBP1	96	0	0
AGTR1	48	0	0
AGTRAP	56	0	0
AGXT	108	0	0
AGXT2	99	0	0
AHCTF1	257	0	0
AHCY	63	0	0
AHCYL1	52	0	0
AHCYL2	59	0	0
AHDC1	99	0	0
AHI1	180	0	0
AHNAK	322	0	0
AHNAK2	1138	0	0
AHR	64	0	0
AHRR	132	0	0
AHSA1	47	0	0
AHSG	52	0	0
AHSP	16	0	0
AICDA	30	0	0
AIDA	28	0	0
AIF1	22	0	0
AIF1L	37	0	0
AIFM2	83	0	0
AIFM3	108	0	0
AIG1	50	0	0
AIM2	42	0	0
AIMP1	36	0	0
AIMP2	48	0	0
AIP	38	0	0
AIPL1	80	0	0
AIRE	157	0	0
AJAP1	56	0	0
AJUBA	45	0	0
AK1	52	0	0
AK2	40	0	0
AK3	42	0	0
AK4	32	0	0
AK5	70	0	0
AK6	24	0	0
AK7	94	0	0
AK8	67	0	0
AK9	205	0	0
AKAIN1	13	0	0
AKAP1	113	0	0
AKAP10	69	0	0
AKAP11	113	0	0
AKAP12	119	0	0
AKAP13	328	0	0
AKAP3	62	0	0
AKAP5	87	0	0
AKAP6	136	0	0
AKAP7	64	0	0
AKAP8	112	0	0
AKAP8L	76	0	0
AKAP9	326	0	0
AKIP1	32	0	0
AKIRIN1	24	0	0
AKIRIN2	32	0	0
AKNA	168	0	0
AKNAD1	119	0	0
AKR1A1	29	0	0
AKR1B1	57	0	0
AKR1B10	91	0	0
AKR1B15	85	0	0
AKR1C1	102	0	0
